Base Pay,Job Role,Skills,Base Pay Range,sex,age,Mother_education,Father_education,Mother_job,Father_job,studytime,backlogs,tuition,pursue_higher_studies,Internet_usage,absences,SSC,HSC,Grad
72000,Teacher,"Subject Knowledge, Communication, Patience, Creativity, Classroom Management",30000-40000,Male,27,2,1,Health,Public,2,0,Yes,Yes,No,0,10,11,12
50000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,20,1,0,Public,Health,4,0,Yes,No,Yes,3,10,11,12
38000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,24,3,0,Teacher,Teacher,3,1,No,Yes,No,12,15,16,17
72000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,26,0,2,Health,Public,3,0,No,Yes,Yes,11,14,16,17
65000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,26,0,2,Public,Health,1,1,Yes,Yes,Yes,5,14,15,16
62000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,25,3,0,Public,Teacher,2,1,No,Yes,Yes,5,14,12,16
86000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,22,0,3,At Home,Health,1,1,Yes,Yes,Yes,5,12,15,18
58000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,29,0,3,At Home,Health,1,1,No,Yes,Yes,6,11,14,18
32000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,25,1,2,Health,Public,3,0,No,Yes,Yes,10,15,14,13
46000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Male,28,1,2,Other,Teacher,1,1,Yes,Yes,Yes,5,12,10,14
37000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,23,1,3,Other,Teacher,1,1,No,Yes,No,5,13,11,12
70000,Teacher,"Subject Knowledge, Communication, Patience, Creativity, Classroom Management",30000-40000,Female,25,2,1,Public,Public,2,0,Yes,Yes,Yes,4,10,11,12
36000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Female,21,1,3,Other,Teacher,1,0,No,Yes,Yes,2,12,9,16
70000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,27,0,1,Teacher,Teacher,2,0,Yes,Yes,Yes,8,11,12,13
85000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,27,2,1,Public,Health,2,0,Yes,Yes,Yes,4,11,12,13
80000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Male,28,0,3,Teacher,Teacher,3,0,Yes,Yes,Yes,8,13,16,18
55000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,20,2,1,Public,Public,4,0,Yes,No,Yes,4,10,11,11
60000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,24,2,1,Teacher,Teacher,1,0,Yes,Yes,No,7,13,10,12
46000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Female,26,3,0,Public,Teacher,3,1,No,Yes,No,12,16,17,17
45000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,29,3,0,Public,Teacher,4,1,No,Yes,Yes,15,15,11,16
70000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Male,23,2,1,Public,Health,3,0,No,Yes,Yes,12,18,14,15
70000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,24,2,1,Public,Teacher,1,0,Yes,Yes,Yes,3,10,11,12
55000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,26,1,2,Teacher,Teacher,2,1,Yes,Yes,Yes,10,14,15,16
70000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Male,29,1,3,Health,Health,3,0,Yes,Yes,Yes,2,16,14,18
52000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Female,26,0,2,Other,Public,1,1,Yes,Yes,Yes,12,14,15,16
65000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,27,2,1,Public,Teacher,1,0,Yes,Yes,Yes,3,10,11,12
68000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,27,0,1,Public,Teacher,3,0,Yes,Yes,Yes,3,10,11,12
66000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,26,3,0,Public,Health,4,0,No,Yes,Yes,10,17,11,16
